timestamp,power_consumption_mw,hour,day,day_of_week,month,day_of_year,is_weekend,lag_1,lag_24,lag_168,rolling_24,rolling_168
2025-01-08 00:00:00,436.9090655291822,0,8,2,1,8,0,529.5163250301067,448.34588738049075,447.0570431375147,594.7065371186972,561.9773060310567
2025-01-08 01:00:00,420.94110922844715,1,8,2,1,8,0,436.9090655291822,458.1351342268433,427.9233266910847,594.2300028748926,561.9169014024358
2025-01-08 02:00:00,421.6677904014852,2,8,2,1,8,0,420.94110922844715,411.7869324651974,451.6932854776205,592.6802518332928,561.8753405842058
2025-01-08 03:00:00,436.1266712363646,3,8,2,1,8,0,421.6677904014852,422.3155621284198,486.1930956536811,593.0919542473047,561.6966173992287
2025-01-08 04:00:00,477.79811587822866,4,8,2,1,8,0,436.1266712363646,491.5792468490299,465.46724512847777,593.6674171268024,561.3986029681733
2025-01-08 05:00:00,524.1105112682445,5,8,2,1,8,0,477.79811587822866,521.8113778236843,501.3237088570789,593.0932033363524,561.4720010083504
2025-01-08 06:00:00,569.1673391609457,6,8,2,1,8,0,524.1105112682445,567.3174395313683,593.3258104483599,593.1890005632091,561.6076367369883
2025-01-08 07:00:00,630.8889310891523,7,8,2,1,8,0,569.1673391609457,617.6756041957021,620.9906389750543,593.2660797144414,561.4638363126584
2025-01-08 08:00:00,645.8172997821146,8,8,2,1,8,0,630.8889310891523,627.2966835407307,625.350813719773,593.8166350016686,561.5227547180995
2025-01-08 09:00:00,696.5544281730936,9,8,2,1,8,0,645.8172997821146,664.8274677682118,665.3754982167895,594.5883273450595,561.6445790398991
2025-01-08 10:00:00,652.2717549833569,10,8,2,1,8,0,696.5544281730936,665.0200367417989,638.898154376974,595.9102840285963,561.8301679086866
2025-01-08 11:00:00,720.437714570757,11,8,2,1,8,0,652.2717549833569,633.3797490503835,632.3856624497399,595.3791056219945,561.9097726742009
2025-01-08 12:00:00,663.7875904905281,12,8,2,1,8,0,720.437714570757,693.595318670048,645.7903844685337,599.0065208520101,562.433892032064
2025-01-08 13:00:00,625.794088194488,13,8,2,1,8,0,663.7875904905281,657.8738992227159,590.98644187143,597.7645321778634,562.5410182583854
2025-01-08 14:00:00,622.6312537419517,14,8,2,1,8,0,625.794088194488,618.4260278584394,597.8760412636335,596.4278733850207,562.7482066293561
2025-01-08 15:00:00,668.733341796105,15,8,2,1,8,0,622.6312537419517,671.8904207258972,634.2097640669809,596.603091130167,562.8955590845841
2025-01-08 16:00:00,665.7459085047591,16,8,2,1,8,0,668.733341796105,645.7704854772484,637.6071210125247,596.4715461747589,563.101056571067
2025-01-08 17:00:00,708.0107385293682,17,8,2,1,8,0,665.7459085047591,708.6428903656532,689.6123303749275,597.3038554675719,563.2685493537589
2025-01-08 18:00:00,713.0482700101669,18,8,2,1,8,0,708.0107385293682,728.9872679660396,670.1121483907779,597.2775158077267,563.3780636880115
2025-01-08 19:00:00,687.7888128281347,19,8,2,1,8,0,713.0482700101669,667.8975267807899,645.8973639941541,596.6133908928987,563.6336358405078
