timestamp,predicted_power_mw
2026-01-01 00:00:00,453.71066018355555
2026-01-01 01:00:00,428.12499986023937
2026-01-01 02:00:00,446.21856311904617
2026-01-01 03:00:00,424.05184579334986
2026-01-01 04:00:00,438.91181854155053
2026-01-01 05:00:00,492.42356237413844
2026-01-01 06:00:00,532.5129168718066
2026-01-01 07:00:00,606.7432618838337
2026-01-01 08:00:00,621.9958608035889
2026-01-01 09:00:00,654.635146403814
2026-01-01 10:00:00,670.2133844735487
2026-01-01 11:00:00,651.7340838984039
2026-01-01 12:00:00,652.7268571558217
2026-01-01 13:00:00,646.6682144318361
2026-01-01 14:00:00,624.4530848620861
2026-01-01 15:00:00,662.1915196385381
2026-01-01 16:00:00,631.944586932418
2026-01-01 17:00:00,664.8186519023634
2026-01-01 18:00:00,675.657470413131
2026-01-01 19:00:00,695.3378619913514
2026-01-01 20:00:00,644.8857867089494
2026-01-01 21:00:00,582.8116846677565
2026-01-01 22:00:00,509.33670789399116
2026-01-01 23:00:00,471.4615096734412
